date,book_value_of_equity_per_share
"Dec. 31, 2019",25.24
"Sept. 30, 2019",25.06
"June 30, 2019",24.02
"March 31, 2019",23.96
"Dec. 31, 2018",23.78
"Sept. 30, 2018",23.70
"June 30, 2018",22.89
"March 31, 2018",22.73
"Dec. 31, 2017",22.56
"Sept. 30, 2017",22.53
"June 30, 2017",21.91
"March 31, 2017",21.80
"Dec. 31, 2016",21.73
"Sept. 30, 2016",21.63
"June 30, 2016",21.07
"March 31, 2016",21.01
"Dec. 31, 2015",20.89
"Sept. 30, 2015",20.79
"June 30, 2015",20.26
"March 31, 2015",20.16
"Dec. 31, 2014",20.20
"Sept. 30, 2014",20.09
"June 30, 2014",19.64
"March 31, 2014",19.45
"Dec. 31, 2013",19.21
"Sept. 30, 2013",19.19
"June 30, 2013",18.70
"March 31, 2013",18.50
"Dec. 31, 2012",18.19
"Sept. 30, 2012",18.15
"June 30, 2012",17.59
"March 31, 2012",17.53
"Dec. 31, 2011",17.44
"Sept. 30, 2011",17.39
"June 30, 2011",16.99
"March 31, 2011",16.90
"Dec. 31, 2010",16.76
"Sept. 30, 2010",16.53
"June 30, 2010",16.08
"March 31, 2010",16.02
"Dec. 31, 2009",15.92
"Sept. 30, 2009",15.76
"June 30, 2009",15.52
"March 31, 2009",15.52
"Dec. 31, 2008",15.51
"Sept. 30, 2008",15.27
"June 30, 2008",14.79
"March 31, 2008",14.77
"Dec. 31, 2007",14.70
"Sept. 30, 2007",14.67
"June 30, 2007",14.28
"March 31, 2007",14.35
"Dec. 31, 2006",14.28
"Sept. 30, 2006",13.99
"June 30, 2006",13.70
"March 31, 2006",13.62
"Dec. 31, 2005",13.37
"Sept. 30, 2005",13.35
"June 30, 2005",13.04
"March 31, 2005",13.11
"Dec. 31, 2004",12.99
"Sept. 30, 2004",13.04
"June 30, 2004",13.16
"March 31, 2004",13.13
"Dec. 31, 2003",12.95
"Sept. 30, 2003",11.82
"June 30, 2003",10.99
"March 31, 2003",11.95
"Dec. 31, 2002",11.70
"Sept. 30, 2002",13.16
"June 30, 2002",18.57
"March 31, 2002",18.09
"Dec. 31, 2001",17.91
"Sept. 30, 2001",17.99
"June 30, 2001",17.51
"March 31, 2001",17.10
"Dec. 31, 2000",16.32
"Sept. 30, 2000",16.15
"June 30, 2000",17.55
"March 31, 2000",16.20
"Dec. 31, 1999",34.27
"Sept. 30, 1999",16.50
"June 30, 1999",16.17
"March 31, 1999",16.29
"Dec. 31, 1998",16.25
"Sept. 30, 1998",15.96
"June 30, 1998",15.68
"March 31, 1998",15.94
"Dec. 31, 1997",15.89
"Sept. 30, 1997",15.98
"June 30, 1997",15.23
"March 31, 1997",15.55
"Dec. 31, 1996",15.46
"Sept. 30, 1996",15.24
"June 30, 1996",15.07
"March 31, 1996",15.08
"Dec. 31, 1995",14.87
"Sept. 30, 1995",14.75
"June 30, 1995",14.40
"March 31, 1995",14.27
"Dec. 31, 1994",14.17
"Sept. 30, 1994",14.13
"June 30, 1994",13.89
"March 31, 1994",13.86
