date,quality_ratio_fractile
"Dec. 31, 2019",4.00
"Sept. 30, 2019",6.00
"June 30, 2019",6.00
"March 31, 2019",6.00
"Dec. 31, 2018",6.00
"Sept. 30, 2018",6.00
"June 30, 2018",6.00
"March 31, 2018",6.00
"Dec. 31, 2017",6.00
"Sept. 30, 2017",6.00
"June 30, 2017",6.00
"March 31, 2017",5.00
"Dec. 31, 2016",6.00
"Sept. 30, 2016",6.00
"June 30, 2016",6.00
"March 31, 2016",5.00
"Dec. 31, 2015",6.00
"Sept. 30, 2015",5.00
"June 30, 2015",6.00
"March 31, 2015",5.00
"Dec. 31, 2014",5.00
"Sept. 30, 2014",5.00
"June 30, 2014",5.00
"March 31, 2014",5.00
"Dec. 31, 2013",5.00
"Sept. 30, 2013",3.00
"June 30, 2013",3.00
"March 31, 2013",3.00
"Dec. 31, 2012",3.00
"Sept. 30, 2012",1.00
"June 30, 2012",1.00
"March 31, 2012",2.00
"Dec. 31, 2011",5.00
"Sept. 30, 2011",4.00
"June 30, 2011",5.00
"March 31, 2011",4.00
"Dec. 31, 2010",4.00
"Sept. 30, 2010",7.00
"June 30, 2010",7.00
"March 31, 2010",6.00
"Dec. 31, 2009",6.00
"Sept. 30, 2009",5.00
"June 30, 2009",5.00
"March 31, 2009",5.00
"Dec. 31, 2008",5.00
"Sept. 30, 2008",4.00
"June 30, 2008",5.00
"March 31, 2008",4.00
"Dec. 31, 2007",4.00
"Sept. 30, 2007",
"June 30, 2007",
"March 31, 2007",
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",
"Dec. 31, 2005",
"Sept. 30, 2005",
"June 30, 2005",
"March 31, 2005",
"Dec. 31, 2004",4.00
"Sept. 30, 2004",
"June 30, 2004",
"March 31, 2004",
"Dec. 31, 2003",
"Sept. 30, 2003",
"June 30, 2003",
"March 31, 2003",3.00
"Dec. 31, 2002",3.00
"Sept. 30, 2002",
"June 30, 2002",
"March 31, 2002",
"Dec. 31, 2001",
"Sept. 30, 2001",
"June 30, 2001",
"March 31, 2001",3.00
"Dec. 31, 2000",3.00
