date,f_score_ttm
"Dec. 31, 2019",3.00
"Sept. 30, 2019",4.00
"June 30, 2019",8.00
"March 31, 2019",5.00
"Dec. 31, 2018",8.00
"Sept. 30, 2018",7.00
"June 30, 2018",7.00
"March 31, 2018",7.00
"Dec. 31, 2017",6.00
"Sept. 30, 2017",7.00
"June 30, 2017",6.00
"March 31, 2017",6.00
"Dec. 31, 2016",5.00
"Sept. 30, 2016",1.00
"June 30, 2016",3.00
"March 31, 2016",2.00
"Dec. 31, 2015",2.00
"Sept. 30, 2015",2.00
"June 30, 2015",3.00
"March 31, 2015",4.00
"Dec. 31, 2014",3.00
"Sept. 30, 2014",5.00
"June 30, 2014",4.00
"March 31, 2014",3.00
"Dec. 31, 2013",2.00
"Sept. 30, 2013",3.00
"June 30, 2013",3.00
"March 31, 2013",2.00
"Dec. 31, 2012",6.00
"Sept. 30, 2012",3.00
"June 30, 2012",4.00
"March 31, 2012",5.00
"Dec. 31, 2011",4.00
"Sept. 30, 2011",9.00
"June 30, 2011",8.00
"March 31, 2011",7.00
"Dec. 31, 2010",7.00
"Sept. 30, 2010",5.00
"June 30, 2010",8.00
"March 31, 2010",7.00
"Dec. 31, 2009",5.00
"Sept. 30, 2009",4.00
"June 30, 2009",3.00
"March 31, 2009",4.00
"Dec. 31, 2008",4.00
"Sept. 30, 2008",8.00
"June 30, 2008",6.00
"March 31, 2008",7.00
"Dec. 31, 2007",7.00
"Sept. 30, 2007",3.00
"June 30, 2007",8.00
"March 31, 2007",7.00
"Dec. 31, 2006",4.00
"Sept. 30, 2006",7.00
"June 30, 2006",5.00
"March 31, 2006",7.00
"Dec. 31, 2005",5.00
"Sept. 30, 2005",5.00
"June 30, 2005",6.00
"March 31, 2005",7.00
"Dec. 31, 2004",7.00
"Sept. 30, 2004",8.00
"June 30, 2004",8.00
"March 31, 2004",7.00
"Dec. 31, 2003",8.00
"Sept. 30, 2003",6.00
"June 30, 2003",7.00
"March 31, 2003",7.00
"Dec. 31, 2002",4.00
"Sept. 30, 2002",4.00
"June 30, 2002",3.00
"March 31, 2002",2.00
"Dec. 31, 2001",2.00
"Sept. 30, 2001",4.00
"June 30, 2001",7.00
"March 31, 2001",9.00
"Dec. 31, 2000",8.00
"Sept. 30, 2000",9.00
"June 30, 2000",9.00
"March 31, 2000",5.00
"Dec. 31, 1999",6.00
"Sept. 30, 1999",5.00
"June 30, 1999",3.00
"March 31, 1999",4.00
"Dec. 31, 1998",2.00
"Sept. 30, 1998",4.00
"June 30, 1998",3.00
"March 31, 1998",3.00
"Dec. 31, 1997",6.00
"Sept. 30, 1997",7.00
"June 30, 1997",3.00
"March 31, 1997",7.00
"Dec. 31, 1996",6.00
"Sept. 30, 1996",6.00
"June 30, 1996",7.00
"March 31, 1996",7.00
"Dec. 31, 1995",4.00
"Sept. 30, 1995",4.00
"June 30, 1995",8.00
"March 31, 1995",5.00
"Dec. 31, 1994",4.00
"Sept. 30, 1994",5.00
